Trends in Number of COVID-19 Vaccinations in the US
Date generated: Wed May 12 2021 18:36:20 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-01-08,US,1191905,817423,351378,10708898,9537076,942721,585897,730841,131021,null,null,351399,9537076,943209,131035
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113948,111862,1249,905310,891907,2499,83835,84842,289,null,null,1249,891907,2499,288
Admin,2021-01-09,US,489485,357376,124482,11198383,9894452,1067203,602234,765048,148477,null,null,124487,9894452,1067696,148490
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50581,49665,337,955891,941572,2836,84382,85418,332,null,null,337,941572,2836,331
Admin,2021-01-10,US,238488,167795,67066,11436871,10062247,1134269,608559,780568,157753,null,null,67077,10062247,1134773,157767
Report,2021-01-10,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,2021-01-10,LTC,35532,35039,283,991423,976611,3119,84834,85842,364,null,null,283,976611,3119,363
Admin,2021-01-11,US,1030489,697082,314089,12467360,10759329,1448358,625968,837702,196570,null,null,314108,10759329,1448881,196585
Report,2021-01-11,US,null,null,null,null,null,null,null,null,null,419440,639336,null,null,null,null
Admin,2021-01-11,LTC,143416,131137,11375,1134839,1107748,14494,91426,94061,1981,null,null,11375,1107748,14494,1980
Admin,2021-01-12,US,1209473,882586,305519,13676833,11641915,1753877,652193,896904,228412,null,null,305541,11641915,1754422,228428
Report,2021-01-12,US,null,null,null,null,null,null,null,null,null,516858,665014,null,null,null,null
Admin,2021-01-12,LTC,156441,142098,13411,1291280,1249846,27905,97973,102571,3882,null,null,13411,1249846,27905,3881
Admin,2021-01-13,US,1281851,998412,263819,14958684,12640327,2017696,679559,938477,242305,null,null,263833,12640327,2018255,242319
Report,2021-01-13,US,null,null,null,null,null,null,null,null,null,987485,720361,null,null,null,null
Admin,2021-01-13,LTC,159909,143240,15805,1451189,1393086,43710,105007,111859,6114,null,null,15805,1393086,43710,6114
Admin,2021-01-14,US,1272220,1125218,129433,16230904,13765545,2147129,720842,959130,222255,null,null,129447,13765545,2147702,222270
Report,2021-01-14,US,null,null,null,null,null,null,null,null,null,1093867,772242,null,null,null,null
Admin,2021-01-14,LTC,141348,137735,2993,1592537,1530821,46703,107254,114453,6493,null,null,2993,1530821,46703,6493
Admin,2021-01-15,US,1217450,1089685,114129,17448354,14855230,2261258,759736,962779,188362,null,null,114149,14855230,2261851,188377
Report,2021-01-15,US,null,null,null,null,null,null,null,null,null,956233,784495,null,null,null,null
Admin,2021-01-15,LTC,112911,110403,1463,1705448,1641224,48166,107045,114305,6524,null,null,1463,1641224,48166,6523
Admin,2021-01-16,US,631526,557277,68037,18079880,15412507,2329295,788294,983071,180299,null,null,68049,15412507,2329900,180314
Report,2021-01-16,US,null,null,null,null,null,null,null,null,null,1141043,834574,null,null,null,null
Admin,2021-01-16,LTC,64401,56659,7070,1769849,1697883,55236,108044,116279,7486,null,null,7070,1697883,55236,7485
Admin,2021-01-17,US,293208,251343,39560,18373088,15663850,2368855,800229,990888,176369,null,null,39562,15663850,2369462,176384
Report,2021-01-17,US,null,null,null,null,null,null,null,null,null,856109,853005,null,null,null,null
Admin,2021-01-17,LTC,49114,43211,5655,1818963,1741094,60891,109212,118220,8253,null,null,5655,1741094,60891,8253
Admin,2021-01-18,US,842521,617787,217673,19215609,16281637,2586528,788901,964035,162596,null,null,217692,16281637,2587154,162610
Report,2021-01-18,US,null,null,null,null,null,null,null,null,null,548050,871378,null,null,null,null
Admin,2021-01-18,LTC,170460,129212,40646,1989423,1870306,101537,108937,122083,12435,null,null,40646,1870306,101537,12434
Admin,2021-01-19,US,1299238,945879,337340,20514847,17227516,2923868,797943,976859,167142,null,null,337352,17227516,2924506,167154
Report,2021-01-19,US,null,null,null,null,null,null,null,null,null,621154,886277,null,null,null,null
