Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
05/10/2021,01/01/2020,04/30/2021,Female,54 Years,"13,218","1,358"
05/10/2021,01/01/2020,04/30/2021,Female,55 Years,"14,825","1,493"
05/10/2021,01/01/2020,04/30/2021,Female,56 Years,"16,659","1,762"
05/10/2021,01/01/2020,04/30/2021,Female,57 Years,"18,402","1,975"
05/10/2021,01/01/2020,04/30/2021,Female,58 Years,"19,460","2,148"
05/10/2021,01/01/2020,04/30/2021,Female,59 Years,"21,693","2,358"
05/10/2021,01/01/2020,04/30/2021,Female,60 Years,"23,581","2,721"
05/10/2021,01/01/2020,04/30/2021,Female,61 Years,"24,860","2,837"
05/10/2021,01/01/2020,04/30/2021,Female,62 Years,"26,191","3,132"
05/10/2021,01/01/2020,04/30/2021,Female,63 Years,"28,152","3,445"
05/10/2021,01/01/2020,04/30/2021,Female,64 Years,"29,112","3,602"
05/10/2021,01/01/2020,04/30/2021,Female,65 Years,"30,378","3,847"
05/10/2021,01/01/2020,04/30/2021,Female,66 Years,"31,507","3,984"
05/10/2021,01/01/2020,04/30/2021,Female,67 Years,"32,558","4,162"
05/10/2021,01/01/2020,04/30/2021,Female,68 Years,"33,952","4,400"
05/10/2021,01/01/2020,04/30/2021,Female,69 Years,"35,275","4,653"
05/10/2021,01/01/2020,04/30/2021,Female,70 Years,"37,250","4,794"
05/10/2021,01/01/2020,04/30/2021,Female,71 Years,"40,140","5,259"
05/10/2021,01/01/2020,04/30/2021,Female,72 Years,"43,229","5,635"
05/10/2021,01/01/2020,04/30/2021,Female,73 Years,"47,406","6,035"
05/10/2021,01/01/2020,04/30/2021,Female,74 Years,"43,131","5,934"
05/10/2021,01/01/2020,04/30/2021,Female,75 Years,"42,608","5,626"
05/10/2021,01/01/2020,04/30/2021,Female,76 Years,"46,482","6,107"
05/10/2021,01/01/2020,04/30/2021,Female,77 Years,"50,819","6,755"
05/10/2021,01/01/2020,04/30/2021,Female,78 Years,"50,810","6,907"
05/10/2021,01/01/2020,04/30/2021,Female,79 Years,"50,379","6,542"
05/10/2021,01/01/2020,04/30/2021,Female,80 Years,"51,759","6,786"
05/10/2021,01/01/2020,04/30/2021,Female,81 Years,"53,455","6,945"
05/10/2021,01/01/2020,04/30/2021,Female,82 Years,"56,183","7,418"
05/10/2021,01/01/2020,04/30/2021,Female,83 Years,"56,847","7,345"
05/10/2021,01/01/2020,04/30/2021,Female,84 Years,"58,882","7,695"
05/10/2021,01/01/2020,04/30/2021,Female,85 Years and over,"802,843","98,328"
